TIME	IP	REQUEST	SOURCE
2015-02-27 15:57:11	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:12	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:15	114.32.216.14	/toRegister	www.sinbad.com.cn/sinbadVIP
2015-02-27 15:57:17	101.226.169.202	/destination7328/activity.html	www.sinbad.com.cn/destination7328/activity.html
2015-02-27 15:57:20	61.135.190.72	/aboutDirect?page=law	-
2015-02-27 15:57:21	59.41.8.249	/	-
2015-02-27 15:57:24	115.47.28.114	/route/routeId517.html	www.sinbad.com.cn/
2015-02-27 15:57:26	119.130.186.196	/	www.sinbad.com.cn/userCenterRoute
2015-02-27 15:57:26	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:27	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:28	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 15:57:30	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:35	112.67.213.21	/	-
2015-02-27 15:57:35	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:37	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:39	112.16.83.85	/	-
2015-02-27 15:57:40	223.73.99.61	/route/routeId364.html	www.sinbad.com.cn/routeMatch
2015-02-27 15:57:46	115.28.142.21	/activity?page=fiji	www.sinbad.com.cn/
2015-02-27 15:57:47	114.32.216.14	/aboutDirect/cooperation.html	www.sinbad.com.cn/toRegister
2015-02-27 15:57:51	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:52	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:53	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 15:57:55	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:57:57	112.67.213.21	/route/routeId526.html	www.sinbad.com.cn/
2015-02-27 15:58:00	119.130.186.196	/login	-
2015-02-27 15:58:00	119.130.186.196	/route/routeId412.html	www.sinbad.com.cn/searchRoute
